driver,lap,pos,life,compound,time,avg_prev_3_time,pace_delta
COL,5,7.0,5,MEDIUM,94.736,94.30400000000002,1.0553333333333512
VER,5,8.0,5,MEDIUM,94.09,93.41300000000001,0.16433333333334588
ALB,5,9.0,5,MEDIUM,95.888,95.03533333333333,1.7866666666666617
SAI,5,10.0,5,MEDIUM,96.681,95.34266666666666,2.093999999999994
BEA,5,11.0,5,MEDIUM,95.796,95.62633333333333,2.37766666666667
OCO,5,12.0,5,MEDIUM,95.306,96.03766666666667,2.7890000000000015
LIN,5,13.0,5,MEDIUM,97.123,96.20166666666667,2.953000000000003
PER,5,14.0,5,MEDIUM,96.828,96.69966666666666,3.4509999999999934
BOR,5,15.0,5,MEDIUM,97.279,96.572,3.3233333333333377
STR,5,16.0,5,MEDIUM,99.194,96.66866666666668,3.420000000000016
ALO,5,17.0,5,MEDIUM,100.142,96.52733333333333,3.278666666666666
BOT,5,18.0,5,MEDIUM,102.642,96.67066666666666,3.421999999999997
LAW,5,19.0,5,MEDIUM,122.852,95.69233333333334,2.4436666666666724
HUL,5,20.0,4,MEDIUM,109.487,103.24233333333332,9.993666666666655
LEC,6,1.0,6,MEDIUM,129.463,93.928,0.3063333333333276
NOR,6,2.0,6,MEDIUM,130.35,93.63966666666666,0.01799999999998647
ANT,6,3.0,6,MEDIUM,132.093,93.80400000000002,0.18233333333334656
RUS,6,4.0,6,MEDIUM,130.928,93.76133333333333,0.13966666666665617
PIA,6,5.0,6,MEDIUM,131.907,93.98133333333332,0.35966666666665503
HAM,6,6.0,6,MEDIUM,135.026,93.98133333333334,0.35966666666666924
COL,6,7.0,6,MEDIUM,136.173,94.51166666666667,0.8900000000000006
VER,6,8.0,6,MEDIUM,140.948,93.62166666666667,0.0
ALB,6,9.0,6,MEDIUM,135.327,95.19666666666667,1.5750000000000028
SAI,6,10.0,6,MEDIUM,134.301,95.60666666666667,1.9849999999999994
BEA,6,11.0,6,MEDIUM,134.875,95.243,1.6213333333333253
OCO,6,12.0,6,MEDIUM,135.341,95.317,1.6953333333333234
LIN,6,13.0,6,MEDIUM,134.208,96.32933333333334,2.707666666666668
PER,6,14.0,6,MEDIUM,134.677,96.71466666666667,3.0930000000000035
BOR,6,15.0,6,MEDIUM,135.495,96.73200000000001,3.110333333333344
STR,6,16.0,6,MEDIUM,136.722,97.54366666666665,3.921999999999983
ALO,6,17.0,6,MEDIUM,135.182,97.699,4.077333333333328
BOT,6,18.0,6,MEDIUM,137.329,98.622,5.00033333333333
HUL,6,19.0,5,MEDIUM,135.15,99.64666666666666,6.0249999999999915
LAW,6,20.0,6,MEDIUM,163.082,104.28333333333335,10.661666666666676
LEC,7,1.0,7,MEDIUM,138.014,105.96333333333332,0.0
NOR,7,2.0,7,MEDIUM,137.842,106.002,0.03866666666667129
ANT,7,3.0,7,MEDIUM,137.101,106.76033333333334,0.7970000000000113
RUS,7,4.0,7,MEDIUM,137.484,106.21266666666666,0.24933333333333962
PIA,7,5.0,7,MEDIUM,137.314,106.49566666666668,0.5323333333333551
HAM,7,6.0,7,MEDIUM,134.27,107.72700000000002,1.763666666666694
COL,7,7.0,7,MEDIUM,131.996,108.41600000000001,2.452666666666687
ALB,7,8.0,7,MEDIUM,127.97,108.66166666666668,2.698333333333352
SAI,7,9.0,7,MEDIUM,128.424,108.60866666666665,2.645333333333326
BEA,7,10.0,7,MEDIUM,129.357,108.57066666666667,2.6073333333333437
OCO,7,11.0,7,MEDIUM,128.906,108.70366666666666,2.7403333333333393
LIN,7,12.0,7,MEDIUM,128.705,108.99533333333333,3.0320000000000107
PER,7,13.0,7,MEDIUM,128.893,109.27066666666667,3.3073333333333466
BOR,7,14.0,7,MEDIUM,128.77,109.769,3.8056666666666814
STR,7,15.0,7,MEDIUM,128.505,110.778,4.814666666666682
VER,7,16.0,1,HARD,142.654,109.52466666666668,3.5613333333333514
ALO,7,17.0,7,MEDIUM,129.956,110.59133333333334,4.628000000000014
BOT,7,18.0,1,SOFT,128.7,112.19600000000001,6.232666666666688
HUL,7,19.0,6,MEDIUM,171.381,113.05333333333333,7.090000000000003
LEC,8,1.0,8,MEDIUM,142.808,120.39133333333332,0.6629999999999825
NOR,8,2.0,8,MEDIUM,142.399,120.678,0.9496666666666584
ANT,8,3.0,8,MEDIUM,142.628,121.26533333333333,1.536999999999992
RUS,8,4.0,8,MEDIUM,142.95,120.74966666666667,1.021333333333331
PIA,8,5.0,8,MEDIUM,143.63,120.904,1.1756666666666575
HAM,8,6.0,8,MEDIUM,142.859,121.16000000000001,1.431666666666672
COL,8,7.0,8,MEDIUM,143.127,120.96833333333335,1.240000000000009
ALB,8,8.0,8,MEDIUM,144.68,119.72833333333334,0.0
SAI,8,9.0,8,MEDIUM,144.658,119.80199999999998,0.07366666666663946
BEA,8,10.0,8,MEDIUM,143.393,120.00933333333334,0.2810000000000059
OCO,8,11.0,8,MEDIUM,143.901,119.851,0.12266666666666026
LIN,8,12.0,8,MEDIUM,142.988,120.012,0.2836666666666616
PER,8,13.0,8,MEDIUM,141.449,120.13266666666665,0.40433333333331234
BOR,8,14.0,8,MEDIUM,140.751,120.51466666666666,0.7863333333333173
STR,8,15.0,8,MEDIUM,141.458,121.47366666666666,1.7453333333333205
VER,8,16.0,2,HARD,141.939,125.89733333333334,6.168999999999997
ALO,8,17.0,8,MEDIUM,142.381,121.75999999999999,2.031666666666652
BOT,8,18.0,2,SOFT,140.142,122.89033333333333,3.161999999999992
LEC,9,1.0,9,MEDIUM,147.484,136.76166666666666,1.7563333333333162
NOR,9,2.0,9,MEDIUM,147.626,136.86366666666666,1.85833333333332
ANT,9,3.0,9,MEDIUM,148.02,137.27399999999997,2.2686666666666326
RUS,9,4.0,9,MEDIUM,147.445,137.12066666666666,2.115333333333325
PIA,9,5.0,9,MEDIUM,147.376,137.617,2.6116666666666504
HAM,9,6.0,9,MEDIUM,147.2,137.38500000000002,2.3796666666666795
COL,9,7.0,9,MEDIUM,146.366,137.09866666666667,2.0933333333333337
ALB,9,8.0,9,MEDIUM,143.515,135.99233333333333,0.9869999999999948
SAI,9,9.0,9,MEDIUM,143.29,135.79433333333333,0.7889999999999873
BEA,9,10.0,9,MEDIUM,143.301,135.875,0.8696666666666601
OCO,9,11.0,9,MEDIUM,143.155,136.04933333333335,1.0440000000000111
LIN,9,12.0,9,MEDIUM,143.196,135.30033333333333,0.2949999999999875
PER,9,13.0,9,MEDIUM,143.123,135.00633333333334,0.0010000000000047748
BOR,9,14.0,9,MEDIUM,142.618,135.00533333333334,0.0
STR,9,15.0,9,MEDIUM,142.647,135.56166666666664,0.5563333333332992
VER,9,16.0,3,HARD,142.583,141.84699999999998,6.84166666666664
ALO,9,17.0,9,MEDIUM,142.229,135.83966666666666,0.8343333333333192
BOT,9,18.0,3,SOFT,143.853,135.39033333333333,0.3849999999999909
LEC,10,1.0,10,MEDIUM,138.762,142.7686666666667,5.38900000000001
NOR,10,2.0,10,MEDIUM,139.119,142.62233333333333,5.242666666666651
ANT,10,3.0,10,MEDIUM,138.771,142.583,5.203333333333319
RUS,10,4.0,10,MEDIUM,138.393,142.62633333333335,5.24666666666667
PIA,10,5.0,10,MEDIUM,138.535,142.77333333333334,5.393666666666661
HAM,10,6.0,10,MEDIUM,137.89,141.443,4.063333333333333
COL,10,7.0,10,MEDIUM,138.133,140.49633333333335,3.1166666666666742
ALB,10,8.0,10,MEDIUM,140.112,138.72166666666666,1.3419999999999845
SAI,10,9.0,10,MEDIUM,140.239,138.79066666666665,1.410999999999973
BEA,10,10.0,10,MEDIUM,139.786,138.68366666666665,1.3039999999999736
OCO,10,11.0,10,MEDIUM,139.98,138.654,1.2743333333333169
LIN,10,12.0,10,MEDIUM,140.944,138.29633333333334,0.9166666666666572
PER,10,13.0,10,MEDIUM,140.172,137.82166666666666,0.44199999999997885
BOR,10,14.0,10,MEDIUM,140.774,137.37966666666668,0.0
STR,10,15.0,10,MEDIUM,139.176,137.53666666666666,0.15699999999998226
VER,10,16.0,4,HARD,140.172,142.392,5.012333333333316
ALO,10,17.0,10,MEDIUM,140.195,138.18866666666665,0.8089999999999691
BOT,10,18.0,4,SOFT,138.118,137.565,0.18533333333331825
LEC,11,1.0,11,MEDIUM,151.893,143.018,2.313666666666677
NOR,11,2.0,11,MEDIUM,150.858,143.048,2.343666666666678
ANT,11,3.0,11,MEDIUM,150.164,143.13966666666667,2.4353333333333467
RUS,11,4.0,11,MEDIUM,149.958,142.92933333333332,2.2249999999999943
PIA,11,5.0,11,MEDIUM,148.408,143.18033333333332,2.475999999999999
HAM,11,6.0,11,MEDIUM,148.268,142.64966666666666,1.9453333333333376
COL,11,7.0,11,MEDIUM,147.279,142.54200000000003,1.8376666666667063
ALB,11,8.0,11,MEDIUM,145.176,142.769,2.0646666666666817
SAI,11,9.0,11,MEDIUM,144.363,142.729,2.0246666666666897
