driver,lap,last_time
STR,17,96.371
PER,17,96.436
ALO,17,96.453
BOT,17,96.766
NOR,18,93.04
ANT,18,93.244
VER,18,93.67
LEC,18,93.692
PIA,18,94.013
RUS,18,94.058
HAM,18,94.232
COL,18,94.654
BEA,18,95.176
ALB,18,95.189
OCO,18,95.226
SAI,18,95.463
BOR,18,95.843
LIN,18,95.94
STR,18,96.539
PER,18,96.558
BOT,18,96.719
ALO,18,96.939
NOR,19,93.008
ANT,19,93.345
VER,19,93.381
LEC,19,93.539
PIA,19,93.718
RUS,19,93.873
HAM,19,94.024
COL,19,94.505
SAI,19,94.773
OCO,19,94.966
ALB,19,94.979
BEA,19,95.097
BOR,19,95.793
PER,19,96.405
ALO,19,96.836
LIN,19,96.865
BOT,19,96.902
STR,19,97.022
ANT,20,93.011
NOR,20,93.193
PIA,20,93.477
LEC,20,93.689
VER,20,93.862
HAM,20,94.217
COL,20,94.591
SAI,20,94.8
BEA,20,95.105
OCO,20,95.21
ALB,20,95.212
BOR,20,95.789
ALO,20,96.221
LIN,20,96.422
PER,20,96.498
STR,20,96.851
BOT,20,97.904
RUS,20,99.114
NOR,21,92.881
ANT,21,93.149
VER,21,93.341
PIA,21,93.541
HAM,21,94.197
ALB,21,94.879
COL,21,94.967
SAI,21,94.968
OCO,21,95.117
BOR,21,95.15
BEA,21,95.271
LIN,21,96.012
PER,21,96.52
ALO,21,96.561
LEC,21,98.504
STR,21,101.443
BOT,21,102.797
RUS,21,105.973
RUS,22,92.636
ANT,22,92.779
NOR,22,93.048
VER,22,93.324
PIA,22,93.874
HAM,22,94.167
COL,22,94.275
SAI,22,94.601
ALB,22,94.8
BEA,22,94.971
BOR,22,95.049
LIN,22,95.953
OCO,22,96.17
PER,22,96.255
ALO,22,96.294
LEC,22,108.975
STR,22,110.529
BOT,22,111.648
ANT,23,92.994
NOR,23,93.098
VER,23,93.355
RUS,23,93.752
PIA,23,93.83
LEC,23,93.886
HAM,23,93.926
COL,23,94.009
SAI,23,94.651
BOR,23,94.653
OCO,23,95.001
ALB,23,95.097
STR,23,95.39
LIN,23,95.698
BOT,23,96.375
ALO,23,96.386
BEA,23,96.529
PER,23,96.617
ANT,24,92.802
NOR,24,93.093
VER,24,93.11
LEC,24,93.588
PIA,24,93.64
HAM,24,94.057
COL,24,94.203
RUS,24,94.363
SAI,24,94.624
BOR,24,94.996
BEA,24,95.107
OCO,24,95.213
LIN,24,95.891
ALB,24,95.901
PER,24,96.353
ALO,24,96.666
STR,24,97.141
BOT,24,97.448
LEC,25,92.986
ANT,25,93.068
RUS,25,93.069
NOR,25,93.384
VER,25,93.499
HAM,25,94.19
COL,25,94.237
PIA,25,94.551
BOR,25,95.001
BEA,25,95.015
ALB,25,95.119
SAI,25,95.297
OCO,25,95.403
STR,25,95.921
LIN,25,96.038
BOT,25,96.449
ALO,25,96.477
PER,25,96.732
NOR,26,93.059
RUS,26,93.423
VER,26,93.844
LEC,26,93.905
COL,26,93.991
PIA,26,94.071
BOR,26,94.911
ALB,26,94.964
HAM,26,94.984
OCO,26,95.011
LIN,26,95.835
STR,26,96.024
SAI,26,96.136
BOT,26,96.262
ALO,26,96.269
PER,26,96.278
ANT,26,97.884
BEA,26,99.688
LEC,27,92.922
RUS,27,93.205
VER,27,93.472
PIA,27,93.95
COL,27,94.275
SAI,27,94.842
BOR,27,95.252
OCO,27,95.469
STR,27,95.818
LIN,27,96.07
ALO,27,96.071
PER,27,96.385
BOT,27,96.571
NOR,27,98.504
HAM,27,99.396
ALB,27,99.764
ANT,27,105.601
BEA,27,108.534
LEC,28,92.652
ANT,28,92.914
RUS,28,92.957
BEA,28,93.744
VER,28,93.778
COL,28,94.391
BOR,28,94.973
OCO,28,95.468
STR,28,95.942
ALO,28,95.985
BOT,28,96.649
PER,28,96.919
PIA,28,98.991
SAI,28,99.86
LIN,28,100.923
NOR,28,107.153
ALB,28,107.798
HAM,28,107.869
ANT,29,92.331
HAM,29,92.676
LEC,29,92.786
RUS,29,92.906
NOR,29,93.451
ALB,29,93.875
BEA,29,94.061
COL,29,94.323
VER,29,94.35
BOR,29,95.023
OCO,29,95.526
STR,29,95.773
ALO,29,96.08
BOT,29,96.481
PER,29,102.282
PIA,29,107.494
SAI,29,108.534
LIN,29,109.027
PIA,30,91.949
ANT,30,92.21
NOR,30,92.247
HAM,30,92.712
SAI,30,93.026
LEC,30,93.416
RUS,30,93.639
ALB,30,93.784
BEA,30,93.841
LIN,30,94.058
VER,30,94.172
COL,30,94.192
BOR,30,95.026
OCO,30,95.393
STR,30,95.505
ALO,30,96.191
BOT,30,102.584
PER,30,109.853
NOR,31,92.069
ANT,31,92.258
PIA,31,92.439
HAM,31,92.864
LEC,31,92.945
VER,31,93.281
SAI,31,93.311
ALB,31,93.837
BEA,31,94.085
LIN,31,94.175
RUS,31,94.234
PER,31,94.895
BOR,31,95.204
STR,31,95.432
ALO,31,96.39
COL,31,99.432
OCO,31,100.336
BOT,31,108.779
ANT,32,92.046
NOR,32,92.155
PIA,32,92.398
LEC,32,92.995
HAM,32,93.121
RUS,32,93.326
VER,32,93.582
SAI,32,93.737
BEA,32,94.102
ALB,32,94.194
LIN,32,94.378
PER,32,95.379
STR,32,95.601
ALO,32,96.335
BOT,32,99.743
BOR,32,100.472
COL,32,108.726
OCO,32,109.454
NOR,33,91.991
ANT,33,92.113
HAM,33,92.98
COL,33,93.035
LEC,33,93.075
PIA,33,93.32
VER,33,93.542
RUS,33,93.547
SAI,33,93.547
OCO,33,93.712
BEA,33,93.867
ALB,33,94.24
PER,33,95.011
LIN,33,95.071
STR,33,95.203
ALO,33,96.708
BOT,33,97.687
BOR,33,108.829
ANT,34,91.968
NOR,34,92.32
LEC,34,92.971
COL,34,93.07
HAM,34,93.174
VER,34,93.462
BOR,34,93.559
SAI,34,94.042
OCO,34,94.051
PIA,34,94.217
BEA,34,94.303
RUS,34,94.33
ALB,34,94.433
LIN,34,95.023
PER,34,95.312
ALO,34,95.644
STR,34,95.849
BOT,34,97.857
NOR,35,91.869
ANT,35,92.487
HAM,35,92.939
LEC,35,92.993
COL,35,93.162
VER,35,93.45
OCO,35,93.87
BOR,35,93.902
SAI,35,93.968
BEA,35,94.198
PIA,35,94.257
ALB,35,94.296
LIN,35,94.864
RUS,35,94.952
PER,35,95.648
ALO,35,96.543
BOT,35,97.114
STR,35,98.513
NOR,36,92.326
ANT,36,92.354
LEC,36,92.879
PIA,36,93.268
COL,36,93.341
VER,36,93.354
BOR,36,93.59
HAM,36,93.669
RUS,36,93.722
SAI,36,93.818
ALB,36,94.201
OCO,36,94.25
BEA,36,94.273
LIN,36,94.863
STR,36,96.018
ALO,36,96.451
PER,36,97.862
BOT,36,98.662
NOR,37,92.391
ANT,37,92.483
PIA,37,92.836
VER,37,93.113
LEC,37,93.155
RUS,37,93.203
BOR,37,93.745
COL,37,93.756
SAI,37,94.082
BEA,37,94.245
OCO,37,94.361
ALB,37,94.485
HAM,37,94.803
LIN,37,95.058
PER,37,95.733
ALO,37,96.558
BOT,37,98.08
STR,37,101.024
NOR,38,92.383
ANT,38,92.423
PIA,38,92.55
LEC,38,92.993
VER,38,93.148
RUS,38,93.237
HAM,38,93.552
COL,38,93.724
BOR,38,93.932
SAI,38,94.237
BEA,38,94.369
ALB,38,94.44
OCO,38,94.538
LIN,38,94.729
PER,38,95.539
ALO,38,96.87
BOT,38,97.759
STR,38,109.547
ANT,39,92.382
PIA,39,92.593
NOR,39,92.657
LEC,39,92.755
RUS,39,92.977
HAM,39,93.098
VER,39,93.168
COL,39,93.717
BOR,39,93.955
SAI,39,94.234
ALB,39,94.337
BEA,39,94.403
OCO,39,94.429
LIN,39,94.548
STR,39,95.112
PER,39,95.829
ALO,39,96.394
BOT,39,99.233
PIA,40,92.524
NOR,40,92.64
LEC,40,92.767
ANT,40,92.878
RUS,40,93.177
HAM,40,93.451
VER,40,93.505
COL,40,93.734
SAI,40,93.988
BOR,40,94.035
BEA,40,94.359
ALB,40,94.439
OCO,40,94.464
LIN,40,94.681
STR,40,94.958
PER,40,97.17
ALO,40,97.717
BOT,40,100.195
ANT,41,92.331
NOR,41,92.676
LEC,41,92.686
PIA,41,92.8
RUS,41,92.898
HAM,41,93.283
BOR,41,93.639
VER,41,93.775
COL,41,93.803
ALB,41,94.172
SAI,41,94.315
BEA,41,94.444
OCO,41,94.449
LIN,41,94.676
STR,41,95.144
PER,41,97.35
BOT,41,97.855
ALO,41,101.789
ANT,42,92.496
NOR,42,92.662
PIA,42,92.664
LEC,42,93.042
RUS,42,93.198
HAM,42,93.237
VER,42,93.382
COL,42,93.859
BOR,42,94.042
ALB,42,94.366
SAI,42,94.394
BEA,42,94.408
LIN,42,94.51
OCO,42,94.589
STR,42,95.324
PER,42,96.678
BOT,42,100.123
ALO,42,109.347
ANT,43,92.186
NOR,43,92.491
LEC,43,92.612
PIA,43,92.838
HAM,43,93.129
RUS,43,93.293
COL,43,93.416
VER,43,93.739
SAI,43,94.241
ALB,43,94.29
OCO,43,94.592
LIN,43,94.686
BOR,43,94.738
BEA,43,94.879
STR,43,95.225
ALO,43,95.55
PER,43,97.179
BOT,43,97.641
ANT,44,92.211
LEC,44,92.515
NOR,44,92.591
PIA,44,92.784
HAM,44,92.893
COL,44,93.384
ALO,44,93.512
VER,44,93.651
RUS,44,93.747
SAI,44,93.866
ALB,44,94.139
BEA,44,94.482
BOR,44,94.51
OCO,44,94.527
PER,44,95.557
STR,44,97.379
BOT,44,97.88
LIN,44,98.417
PIA,45,92.298
ANT,45,92.399
NOR,45,92.469
LEC,45,92.874
RUS,45,93.07
HAM,45,93.129
VER,45,93.448
COL,45,93.951
SAI,45,94.046
ALB,45,94.31
BOR,45,94.427
BEA,45,94.588
ALO,45,94.594
LIN,45,94.598
OCO,45,94.806
STR,45,94.82
PER,45,96.376
BOT,45,100.655
PIA,46,92.496
ANT,46,92.531
NOR,46,92.715
HAM,46,93.135
RUS,46,93.302
LEC,46,93.468
COL,46,93.612
VER,46,93.693
SAI,46,94.07
ALB,46,94.199
BEA,46,94.353
LIN,46,94.578
BOR,46,94.863
STR,46,95.174
OCO,46,95.655
ALO,46,96.389
PER,46,96.409
BOT,46,99.005
NOR,47,92.235
PIA,47,92.61
ANT,47,92.782
RUS,47,93.261
COL,47,93.332
HAM,47,93.34
LEC,47,93.678
SAI,47,93.978
BOR,47,94.171
OCO,47,94.551
ALB,47,94.561
LIN,47,94.579
VER,47,94.983
STR,47,95.215
ALO,47,96.191
PER,47,96.892
BEA,47,97.535
BOT,47,97.707
ANT,48,92.377
NOR,48,92.398
LEC,48,92.892
RUS,48,93.272
HAM,48,93.575
PIA,48,93.578
COL,48,93.721
BOR,48,93.841
SAI,48,94.004
OCO,48,94.26
ALB,48,94.325
VER,48,94.368
BEA,48,94.753
STR,48,95.135
LIN,48,95.358
PER,48,96.634
ALO,48,96.765
BOT,48,98.102
ANT,49,92.243
NOR,49,92.269
LEC,49,92.734
RUS,49,92.741
PIA,49,92.759
COL,49,93.38
HAM,49,93.635
SAI,49,93.98
ALB,49,94.18
OCO,49,94.259
BOR,49,94.27
BEA,49,94.342
VER,49,94.4
LIN,49,94.818
STR,49,95.098
PER,49,96.887
ALO,49,97.677
BOT,49,102.264
ANT,50,92.097
PIA,50,92.425
NOR,50,92.428
LEC,50,92.566
RUS,50,92.701
HAM,50,93.506
VER,50,93.592
SAI,50,93.893
COL,50,94.176
BEA,50,94.287
ALB,50,94.356
BOR,50,94.409
LIN,50,94.605
STR,50,95.187
ALO,50,96.116
PER,50,96.556
OCO,50,96.679
BOT,50,98.37
NOR,51,92.394
PIA,51,92.416
ANT,51,92.418
LEC,51,92.578
RUS,51,92.807
HAM,51,93.57
COL,51,93.775
VER,51,93.895
SAI,51,94.102
ALB,51,94.407
BEA,51,94.447
LIN,51,94.553
OCO,51,94.853
STR,51,94.891
ALO,51,95.159
BOR,51,95.743
PER,51,96.311
BOT,51,97.283
ANT,52,92.427
PIA,52,92.449
NOR,52,92.464
LEC,52,92.579
RUS,52,92.877
COL,52,93.791
VER,52,93.931
SAI,52,94.172
ALB,52,94.287
LIN,52,94.298
OCO,52,94.439
HAM,52,94.634
BEA,52,94.72
BOR,52,94.751
STR,52,94.759
ALO,52,95.091
PER,52,95.814
BOT,52,99.178
PIA,53,92.22
ANT,53,92.354
RUS,53,92.446
LEC,53,92.679
NOR,53,92.738
COL,53,93.528
BOR,53,93.854
VER,53,93.873
SAI,53,93.989
HAM,53,94.302
ALB,53,94.351
BEA,53,94.356
OCO,53,94.427
STR,53,94.811
ALO,53,95.015
PER,53,95.356
BOT,53,97.322
LIN,53,97.343
PIA,54,91.986
ANT,54,91.986
NOR,54,92.038
LEC,54,92.667
COL,54,93.304
BOR,54,93.726
RUS,54,93.81
SAI,54,93.858
OCO,54,94.124
VER,54,94.243
ALB,54,94.253
HAM,54,94.33
STR,54,94.806
LIN,54,94.832
ALO,54,94.97
BEA,54,95.415
PER,54,95.502
BOT,54,97.595
ANT,55,92.347
NOR,55,92.493
PIA,55,92.696
LEC,55,92.941
COL,55,93.335
BOR,55,93.5
SAI,55,93.951
ALB,55,94.109
HAM,55,94.307
OCO,55,94.416
LIN,55,94.482
ALO,55,94.944
PER,55,95.25
VER,55,95.873
BEA,55,95.896
STR,55,96.149
RUS,55,96.203
BOT,55,99.984
ANT,56,92.586
NOR,56,92.849
COL,56,93.059
PIA,56,93.246
BOR,56,94.088
ALB,56,94.163
RUS,56,94.187
LEC,56,94.211
SAI,56,94.341
OCO,56,94.407
BEA,56,94.514
HAM,56,94.567
STR,56,94.716
ALO,56,95.246
PER,56,95.25
VER,56,95.577
LIN,56,104.942
ANT,57,93.092
COL,57,93.148
PIA,57,93.237
NOR,57,93.474
ALB,57,94.298
RUS,57,94.542
SAI,57,94.555
VER,57,94.614
HAM,57,94.95
LEC,57,109.834
