driver,lap,pos,life,compound,time,avg_prev_3_time,pace_delta
VER,53,5,47,HARD,93.873,93.806,1.4919999999999902
RUS,53,6,33,HARD,92.446,92.795,0.48099999999999454
HAM,53,7,26,HARD,94.302,93.90333333333332,1.5893333333333146
COL,53,8,22,HARD,93.528,93.914,1.5999999999999943
SAI,53,9,25,HARD,93.989,94.05566666666668,1.7416666666666742
ALB,53,10,26,HARD,94.351,94.34999999999998,2.035999999999973
BEA,53,11,27,HARD,94.356,94.48466666666667,2.170666666666662
BOR,53,12,21,HARD,93.854,94.96766666666667,2.653666666666666
OCO,53,13,22,HARD,94.427,95.32366666666667,3.0096666666666607
LIN,53,14,25,HARD,97.343,94.48533333333334,2.1713333333333367
ALO,53,15,12,SOFT,95.015,95.45533333333333,3.1413333333333213
PER,53,16,24,HARD,95.356,96.22700000000002,3.913000000000011
STR,53,17,16,SOFT,94.811,94.94566666666667,2.6316666666666606
BOT,53,18,32,MEDIUM,97.322,98.277,5.962999999999994
ANT,54,1,28,HARD,91.986,92.39966666666668,0.0379999999999967
NOR,54,2,27,HARD,92.038,92.532,0.17033333333331768
LEC,54,3,33,HARD,92.667,92.61200000000001,0.2503333333333302
PIA,54,4,26,HARD,91.986,92.36166666666668,0
VER,54,5,48,HARD,94.243,93.89966666666668,1.5379999999999967
RUS,54,6,34,HARD,93.81,92.71,0.34833333333331495
HAM,54,7,27,HARD,94.33,94.16866666666668,1.8070000000000022
COL,54,8,23,HARD,93.304,93.698,1.3363333333333145
SAI,54,9,26,HARD,93.858,94.08766666666668,1.725999999999999
ALB,54,10,27,HARD,94.253,94.34833333333334,1.9866666666666646
BEA,54,11,28,HARD,95.415,94.50766666666668,2.146000000000001
BOR,54,12,22,HARD,93.726,94.78266666666667,2.4209999999999923
OCO,54,13,23,HARD,94.124,94.573,2.2113333333333145
LIN,54,14,26,HARD,94.832,95.39800000000001,3.0363333333333316
ALO,54,15,13,SOFT,94.97,95.08833333333332,2.7266666666666453
PER,54,16,25,HARD,95.502,95.827,3.4653333333333194
STR,54,17,17,SOFT,94.806,94.82033333333334,2.458666666666659
BOT,54,18,33,MEDIUM,97.595,97.92766666666667,5.565999999999988
ANT,55,1,29,HARD,92.347,92.25566666666667,0.03733333333335054
NOR,55,2,28,HARD,92.493,92.41333333333334,0.1950000000000216
LEC,55,3,34,HARD,92.941,92.64166666666665,0.423333333333332
PIA,55,4,27,HARD,92.696,92.21833333333332,0
VER,55,5,49,HARD,95.873,94.01566666666668,1.7973333333333557
RUS,55,6,35,HARD,96.203,93.04433333333333,0.8260000000000076
HAM,55,7,28,HARD,94.307,94.42200000000001,2.2036666666666918
COL,55,8,24,HARD,93.335,93.54100000000001,1.3226666666666915
SAI,55,9,27,HARD,93.951,94.00633333333333,1.788000000000011
ALB,55,10,28,HARD,94.109,94.29700000000001,2.0786666666666918
BEA,55,11,29,HARD,95.896,94.83033333333333,2.612000000000009
BOR,55,12,23,HARD,93.5,94.11033333333334,1.8920000000000243
OCO,55,13,24,HARD,94.416,94.33,2.111666666666679
LIN,55,14,27,HARD,94.482,95.491,3.27266666666668
ALO,55,15,14,SOFT,94.944,95.02533333333334,2.8070000000000164
PER,55,16,26,HARD,95.25,95.55733333333332,3.3389999999999986
STR,55,17,18,SOFT,96.149,94.79199999999999,2.573666666666668
BOT,55,18,34,MEDIUM,99.984,98.03166666666668,5.813333333333361
ANT,56,1,30,HARD,92.586,92.229,0
NOR,56,2,29,HARD,92.849,92.423,0.19400000000000261
PIA,56,3,28,HARD,93.246,92.30066666666669,0.07166666666668675
LEC,56,4,35,HARD,94.211,92.76233333333334,0.5333333333333456
RUS,56,5,36,HARD,94.187,94.153,1.9240000000000066
VER,56,6,50,HARD,95.577,94.663,2.4339999999999975
HAM,56,7,29,HARD,94.567,94.313,2.084000000000003
COL,56,8,25,HARD,93.059,93.389,1.1599999999999966
SAI,56,9,28,HARD,94.341,93.93266666666666,1.7036666666666633
ALB,56,10,29,HARD,94.163,94.23766666666666,2.008666666666656
BEA,56,11,30,HARD,94.514,95.22233333333334,2.9933333333333394
BOR,56,12,24,HARD,94.088,93.69333333333333,1.4643333333333288
OCO,56,13,25,HARD,94.407,94.32233333333333,2.0933333333333337
LIN,56,14,28,HARD,104.942,95.55233333333335,3.323333333333352
ALO,56,15,15,SOFT,95.246,94.97633333333334,2.7473333333333443
PER,56,16,27,HARD,95.25,95.36933333333333,3.1403333333333308
STR,56,17,19,SOFT,94.716,95.25533333333334,3.0263333333333406
ANT,57,1,31,HARD,93.092,92.30633333333333,0
NOR,57,2,30,HARD,93.474,92.46,0.15366666666666617
PIA,57,3,29,HARD,93.237,92.64266666666667,0.3363333333333429
RUS,57,4,37,HARD,94.542,94.73333333333333,2.4270000000000067
VER,57,5,51,HARD,94.614,95.231,2.924666666666667
LEC,57,6,36,HARD,109.834,93.27300000000001,0.9666666666666828
HAM,57,7,30,HARD,94.95,94.40133333333334,2.095000000000013
COL,57,8,26,HARD,93.148,93.23266666666666,0.9263333333333321
SAI,57,9,29,HARD,94.555,94.05,1.7436666666666696
ALB,57,10,30,HARD,94.298,94.175,1.8686666666666696
